keys	synonyms	count?	exclusive?	jump?	char?	letter?	op?	xwise	chapter	help
a{	a} aB	●	X	◌	◌	◌	█	C	TOS	select N {} blocks
i{	i} iB	●	X	◌	◌	◌	█	C	TOS	select N inner {} blocks
a"	a' a`	●	X	◌	◌	◌	█	C	TOS	select N quote blocks
i"	i' i`	●	X	◌	◌	◌	█	C	TOS	select N inner quote blocks
m		◌	X	◌	◌	●	◌	X	M	set mark at cursor position
m'	m`	◌	X	◌	◌	◌	◌	X	M	set previous context mark at cursor position
m[		◌	X	◌	◌	◌	◌	X	M	set the '[ mark at cursor position
m]		◌	X	◌	◌	◌	◌	X	M	set the '] mark at cursor position
`		◌	●	●	◌	●	●	C	M	cursor to mark
'		◌	◌	●	◌	●	●	L	M	cursor to first non blank char in line of mark
g`		◌	●	◌	◌	●	●	C	M	cursor to mark but don't add to jump list
g'		◌	◌	◌	◌	●	●	L	M	cursor to first non blank char in line of mark but don't add to jump list
`[		◌	◌	●	◌	◌	●	C	M	cursor to first char of previously changed or yanked text
'[		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in first line of previously changed or yanked text
`]		◌	◌	●	◌	◌	●	C	M	cursor to last char of previously changed or yanked text
']		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in last line of previously changed or yanked text
`<		◌	◌	●	◌	◌	●	C	M	cursor to first char of last selected visual area
'<		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in first line of last selected visual area
`>		◌	◌	●	◌	◌	●	C	M	cursor to last char of last selected visual area
'>		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in last line of last selected visual area
``		◌	◌	●	◌	◌	●	C	M	cursor to position before last jump, or to m' mark
''		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line of position before last jump, or to m' mark
`"		◌	◌	●	◌	◌	●	C	M	cursor to position when last exiting buffer
'"  		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line of position when last exiting buffer
`^		◌	◌	●	◌	◌	●	C	M	cursor to position when insert mode was last stopped
'^		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line of position when insert mode was last stopped
`.		◌	◌	●	◌	◌	●	C	M	cursor to position where last change was made
'.		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line of position where last change was made
`(		◌	●	●	◌	◌	●	C	M	cursor to start of current sentence
'(		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line starting current sentence
`)		◌	●	●	◌	◌	●	C	M	cursor to end of current sentence
')		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line ending current sentence
`{		◌	●	●	◌	◌	●	C	M	cursor to start of current paragraph
'{		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line starting current paragraph
`}		◌	●	●	◌	◌	●	C	M	cursor to end of current paragraph
'}		◌	◌	●	◌	◌	●	L	M	cursor to first non blank char in line ending current paragraph
]`		●	●	●	◌	◌	●	C	M	cursor N times to next lowercase mark
]'		●	◌	●	◌	◌	●	L	M	cursor N times to first non blank char in line of  next lowercase mark
[`		●	●	●	◌	◌	●	C	M	cursor N times to previous lowercase mark
['		●	◌	●	◌	◌	●	L	M	cursor N times to first non blank char in line of  previous lowercase mark
CTRL-O		●	X	◌	◌	◌	◌	X	J	cursor to N older position in jump list
CTRL-I	<Tab>	●	X	◌	◌	◌	◌	X	J	cursor to N newer position in jump list
g;		●	X	◌	◌	◌	◌	X	CLJ	cursor to N older position in change list
g,		●	X	◌	◌	◌	◌	X	CLJ	cursor to N newer position in change list
%		◌	◌	●	◌	◌	●	C	VM	cursor to next match of item in this line at or after the cursor 
[(		●	●	◌	◌	◌	●	C	VM	cursor to Nth previous unmatched (
[{		●	●	◌	◌	◌	●	C	VM	cursor to Nth previous unmatched {
](		●	●	◌	◌	◌	●	C	VM	cursor to Nth next unmatched (
]{		●	●	◌	◌	◌	●	C	VM	cursor to Nth next unmatched {
H		●	◌	●	◌	◌	●	L	VM	cursor to Nth line count from top of window on first non-blank char
M		◌	◌	●	◌	◌	●	L	VM	cursor to middle line of window on first non-blank char
L		●	◌	●	◌	◌	●	L	VM	cursor to Nth line count from bottom of window on first non-blank char
