"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description"
17,"Teisarza"," (208","112)",6," Green Slimy Rodents"," Feudal"," This world is reasonably well known for its great volcanoes but ravaged by a vicious disease. "
18,"Intedi"," (196","74)",8," Blue Felines"," Democracy"," Intedi is a n unremarkable planet. "
19,"Ongequ"," (150","173)",6," Harmless Bony Felines"," Dictatorship"," The planet Ongequ is a boring planet. "
20,"Anbedi"," (29","90)",9," Blue Lizards"," Confederacy"," This planet is mildly fabled for the Anbediian mountain poet but scourged by deadly civil war. "
21,"Onarsoat"," (253","141)",5," Human Colonials"," Communist"," The world Onarsoat is scourged by a evil disease. "
22,"Zaisra"," (17","135)",3," Human Colonials"," Dictatorship"," This planet is most notable for Zaisraian vicious water but plagued by occasional solar activity. "
23,"Usenat"," (214","244)",6," Human Colonials"," Multi-Government"," This world is most notable for its fabulous cuisine but beset by occasional civil war. "
24,"Erremaar"," (140","177)",9," Green Furry Humanoids"," Democracy"," This planet is reasonably noted for Zero-G hockey. "
25,"Zaquesso"," (74","235)",10," Human Colonials"," Corporate State"," This world is fabled for its exciting Zaquessoian evil juice. "
26,"Matere"," (199","137)",7," Human Colonials"," Anarchy"," This world is most fabled for its inhabitants' eccentric love for tourists but plagued by deadly earthquakes. "
27,"Cetege"," (150","46)",4," Large Red Slimy Rodents"," Feudal"," This planet is very notable for the Cetegeian tree snake and Cetegeian shrew steak. "
28,"Bisoaton"," (163","156)",10," Fierce Red Frogs"," Corporate State"," This planet is plagued by deadly earthquakes. "
29,"Tiusriri"," (191","49)",10," Yellow Frogs"," Multi-Government"," Tiusriri is a revolting little planet. "
30,"Cexece"," (254","94)",6," Human Colonials"," Confederacy"," This planet is mildly noted for its ancient mountains but plagued by frequent earthquakes. "
31,"Laesinma"," (77","165)",1," Slimy Frogs"," Anarchy"," The planet Laesinma is scourged by deadly edible arts graduates. "
32,"Lequso"," (11","44)",4," Large Red Rodents"," Anarchy"," Lequso is most famous for its vast dense forests and its exotic night life. "
33,"Ceered"," (3","135)",6," Human Colonials"," Confederacy"," This world is a revolting little planet. "
34,"Vetele"," (173","88)",9," Blue Furry Insects"," Multi-Government"," Vetele is a revolting little planet. "
35,"Enuserin"," (148","161)",10," Harmless Furry Insects"," Corporate State"," The planet Enuserin is a n unremarkable planet. "
36,"Bigeve"," (204","48)",6," Human Colonials"," Feudal"," This planet is beset by deadly earthquakes. "
37,"Edrebi"," (95","150)",4," Bug-Eyed Frogs"," Anarchy"," The planet Edrebi is scourged by killer edible arts graduates. "
38,"Getius"," (173","6)",6," Human Colonials"," Corporate State"," Getius is a n unremarkable dump. "
39,"Zaeredre"," (35","104)",13," Human Colonials"," Democracy"," This world is noted for its exciting vacuum karate. "
40,"Tirizaan"," (78","56)",10," Frogs"," Multi-Government"," Tirizaan is cursed by dreadful civil war. "
41,"Ririor"," (187","132)",8," Black Frogs"," Dictatorship"," The planet Ririor is most well known for its hoopy casinos. "
42,"Reriza"," (182","57)",10," Frogs"," Communist"," The world Reriza is reasonably noted for Zero-G cricket and Rerizaian evil brandy. "
43,"Ladila"," (210","68)",8," Insects"," Confederacy"," This planet is beset by dreadful earthquakes. "
44,"Quusanri"," (88","149)",4," Furry Insects"," Dictatorship"," The planet Quusanri is cursed by killer mountain lobstoids. "
45,"Geison"," (158","251)",9," Human Colonials"," Democracy"," Geison is reasonably notable for its fabulous cuisine but plagued by evil tree fishs. "
46,"Isrite"," (96","255)",1," Yellow Rodents"," Feudal"," This planet is noted for its exciting sit coms. "
47,"Beesve"," (152","124)",5," Fat Insects"," Communist"," The world Beesve is most well known for its exotic night life. "
48,"Entexe"," (19","86)",6," Yellow Furry Insects"," Communist"," The world Entexe is scourged by deadly edible grubs. "
49,"Atbiarxe"," (50","34)",8," Green Slimy Frogs"," Feudal"," The planet Atbiarxe is cursed by deadly civil war. "
50,"Raleor"," (34","170)",10," Human Colonials"," Democracy"," The planet Raleor is scourged by killer edible Leilcearoids. "
51,"Esenma"," (143","89)",11," Small Insects"," Dictatorship"," The world Esenma is most well known for its great dense forests. "
52,"Zavexe"," (7","75)",10," Human Colonials"," Confederacy"," Zavexe is mildly well known for its hoopy casinos. "
53,"Veveesve"," (61","162)",8," Human Colonials"," Communist"," The world Veveesve is a dull world. "
54,"Lalale"," (86","201)",10," Yellow Rodents"," Dictatorship"," This planet is reasonably famous for the Lalaleian evil Reoid. "
55,"Zaenza"," (237","33)",8," Human Colonials"," Multi-Government"," The world Zaenza is fabled for its ancient Zaenzaian Us banana plantations and its hoopy casinos. "
56,"Bebeleus"," (27","4)",9," Human Colonials"," Democracy"," This world is a tedious little planet. "
57,"Issodien"," (40","161)",10," Human Colonials"," Corporate State"," This planet is a tedious little planet. "
58,"Biceri"," (50","45)",2," Fierce Frogs"," Anarchy"," This world is very notable for its inhabitants' ingrained shyness. "
59,"Reedated"," (10","30)",4," Yellow Fat Felines"," Feudal"," The planet Reedated is reasonably fabled for its exciting Reedatedian evil brandy and its fabulous lethal Ildi brew. "
60,"Gediesqu"," (152","209)",10," Human Colonials"," Corporate State"," The world Gediesqu is most famous for the Gediesquian spotted wolf. "
61,"Entizare"," (250","201)",9," Green Bony Humanoids"," Multi-Government"," Entizare is very fabled for its unusual oceans. "
62,"Arriti"," (206","228)",8," Small Black Horned Birds"," Confederacy"," The planet Arriti is most famous for its pink oceans. "
63,"Ladigeso"," (96","151)",0," Red Rodents"," Anarchy"," The world Ladigeso is a dull place. "
64,"Edxexe"," (39","195)",7," Human Colonials"," Anarchy"," The planet Edxexe is cursed by dreadful civil war. "
65,"Xele"," (93","66)",9," Human Colonials"," Confederacy"," This world is mildly famous for its pink oceans and mud hockey. "
66,"Biarra"," (36","64)",8," Human Colonials"," Multi-Government"," This planet is a tedious little planet. "
67,"Zaonesdi"," (133","212)",8," Fierce Blue Bug-Eyed Frogs"," Corporate State"," This world is plagued by frequent solar activity. "
68,"Vereen"," (205","169)",6," Red Fat Felines"," Feudal"," Vereen is a revolting little planet. "
69,"Tileer"," (151","178)",8," Furry Rodents"," Anarchy"," The world Tileer is reasonably noted for its inhabitants' eccentric shyness. "
70,"Tetiri"," (10","208)",13," Green Horned Lizards"," Corporate State"," Tetiri is mildly well known for its hoopy night life. "
71,"Usorbela"," (50","30)",6," Human Colonials"," Democracy"," The world Usorbela is very noted for its pink oceans but cursed by occasional earthquakes. "
72,"Xemageat"," (245","19)",6," Human Colonials"," Multi-Government"," The world Xemageat is beset by deadly earthquakes. "
73,"Onrace"," (145","67)",7," Blue Horned Humanoids"," Dictatorship"," Onrace is reasonably notable for its unusual tropical forests but scourged by frequent civil war. "
74,"Enerte"," (57","101)",5," Human Colonials"," Communist"," Enerte is most noted for its inhabitants' eccentric love for poetry and its inhabitants' weird shyness. "
75,"Masoen"," (63","188)",9," Small Black Bony Felines"," Confederacy"," This planet is noted for mud tennis. "
76,"Ontiteen"," (101","82)",8," Human Colonials"," Dictatorship"," This planet is reasonably famous for its inhabitants' ancient mating traditions. "
77,"Biradi"," (210","156)",8," Human Colonials"," Democracy"," The planet Biradi is mildly notable for its inhabitants' unusual silliness. "
78,"Maleve"," (72","13)",1," Human Colonials"," Feudal"," The world Maleve is very noted for its ancient Biso tulip plantations but ravaged by occasional solar activity. "
79,"Anlala"," (163","246)",6," Green Furry Rodents"," Communist"," This planet is very well known for vicious Lolees brew and its exotic goat meat. "
80,"Atdice"," (70","117)",6," Human Colonials"," Communist"," This planet is a tedious little planet. "
81,"Veonquat"," (132","229)",1," Black Bug-Eyed Lobsters"," Feudal"," Veonquat is reasonably notable for its great volcanoes but plagued by lethal spotted yaks. "
82,"Matira"," (177","26)",9," Small Bony Felines"," Democracy"," The world Matira is reasonably noted for its inhabitants' exceptional love for tourists. "
83,"Geerin"," (119","20)",8," Large Red Bony Felines"," Dictatorship"," This planet is reasonably famous for its inhabitants' exceptional loathing of casinos. "
84,"Teesbi"," (32","76)",6," Green Fat Birds"," Confederacy"," The planet Teesbi is reasonably noted for its inhabitants' eccentric shyness and Teesbiian evil juice. "
85,"Isatanar"," (109","198)",4," Human Colonials"," Communist"," Isatanar is cursed by killer edible talking treeoids. "
86,"Tiison"," (202","27)",8," Human Colonials"," Dictatorship"," This planet is beset by a evil disease. "
87,"Ergeso"," (243","95)",4," Human Colonials"," Multi-Government"," Ergeso is a revolting dump. "
88,"Cesousla"," (218","103)",5," Fierce Harmless Furry Felines"," Democracy"," The world Cesousla is notable for its weird tropical forests and Cesouslaian evil juice. "
89,"Bizalein"," (245","104)",12," Human Colonials"," Corporate State"," The planet Bizalein is most famous for its vast rain forests. "
90,"Enonis"," (204","225)",4," Human Colonials"," Anarchy"," Enonis is a n unremarkable dump. "
91,"Inquveri"," (111","29)",4," Black Horned Lizards"," Feudal"," This world is ravaged by occasional solar activity. "
92,"Azaenbi"," (190","22)",7," Slimy Lobsters"," Corporate State"," This planet is beset by a lethal disease. "
93,"Isvequre"," (38","114)",8," Yellow Fat Humanoids"," Multi-Government"," The world Isvequre is very noted for its pink oceans but cursed by a deadly disease. "
94,"Esed"," (206","122)",10," Human Colonials"," Confederacy"," Esed is a revolting little planet. "
95,"Celearen"," (99","152)",8," Fierce Black Bony Birds"," Anarchy"," This world is mildly well known for Celearenian wolf meat and its ancient Celearenian Beitse banana plantations. "
96,"Rianin"," (114","106)",7," Yellow Slimy Lizards"," Anarchy"," This world is very notable for its inhabitants' ingrained silliness and its weird rock formations. "
97,"Axeed"," (166","12)",8," Human Colonials"," Confederacy"," The world Axeed is fabled for its exciting Zero-G cricket and its fabulous vicious Alab gargle blasters. "
98,"Ceused"," (202","56)",10," Fierce Harmless Horned Lobsters"," Multi-Government"," The world Ceused is reasonably noted for its inhabitants' eccentric shyness and its inhabitants' eccentric shyness. "
99,"Biceenon"," (102","24)",13," Fierce Red Rodents"," Corporate State"," The world Biceenon is a dull place. "
100,"Tiuson"," (255","50)",9," Human Colonials"," Feudal"," This world is a tedious place. "
101,"Bizaar"," (191","223)",3," Fierce Harmless Slimy Lizards"," Anarchy"," The planet Bizaar is most famous for the Bizaarian spotted shrew. "
102,"Bisoge"," (150","170)",11," Human Colonials"," Corporate State"," Bisoge is well known for the Bisogeian spotted shrew but plagued by evil tree leopards. "
103,"Teatriin"," (49","227)",8," Human Colonials"," Democracy"," Teatriin is mildly well known for its exotic night life and Teatriinian Oubeab brandy. "
104,"Teusatve"," (204","254)",2," Harmless Horned Lizards"," Multi-Government"," The world Teusatve is notable for its weird exuberant forests and its inhabitants' eccentric shyness. "
105,"Erorle"," (86","17)",10," Insects"," Dictatorship"," The planet Erorle is well known for its inhabitants' weird silliness but ravaged by occasional earthquakes. "
106,"Ceenge"," (235","161)",11," Fierce Horned Lobsters"," Communist"," This world is most notable for its fabulous cuisine but beset by occasional civil war. "
107,"Ataton"," (155","67)",10," Yellow Slimy Frogs"," Confederacy"," This world is ravaged by unpredictable civil war. "
108,"Beveinve"," (162","31)",4," Furry Rodents"," Dictatorship"," The world Beveinve is fabled for its exciting sit coms and its fabulous monkey steak. "
109,"Ortema"," (246","76)",8," Human Colonials"," Democracy"," This world is a revolting little planet. "
110,"Uslaon"," (97","43)",6," Small Horned Lizards"," Feudal"," Uslaon is cursed by vicious mountain beasts. "
111,"Beatza"," (158","127)",4," Blue Bug-Eyed Birds"," Communist"," Beatza is reasonably well known for the Beatzaian tree grub but ravaged by unpredictable civil war. "
112,"Onditi"," (169","164)",6," Furry Rodents"," Communist"," The world Onditi is reasonably noted for mud tennis and its ancient mountains. "
113,"Maesqua"," (197","183)",2," Small Harmless Horned Humanoids"," Feudal"," The world Maesqua is reasonably noted for its inhabitants' eccentric love for tourists and the Maesquaian edible grub. "
114,"Beis"," (111","154)",11," Human Colonials"," Democracy"," This planet is reasonably famous for its inhabitants' exceptional loathing of food blenders. "
115,"Diriis"," (80","224)",9," Blue Slimy Frogs"," Dictatorship"," This planet is noted for its fabulous goat soup. "
116,"Ceinan"," (105","93)",6," Human Colonials"," Confederacy"," This world is very notable for the Ceinanian edible arts graduate and its unusual dense forests. "
117,"Rateisre"," (140","251)",6," Human Colonials"," Communist"," The planet Rateisre is a n unremarkable dump. "
118,"Uslain"," (110","125)",6," Small Red Bony Lobsters"," Dictatorship"," The world Uslain is reasonably famous for the Uslainian spotted wolf. "
119,"Ingequ"," (234","172)",6," Human Colonials"," Multi-Government"," The world Ingequ is beset by dreadful earthquakes. "
120,"Usinribe"," (202","218)",10," Human Colonials"," Democracy"," This planet is beset by deadly earthquakes. "
121,"Onenceve"," (179","62)",8," Human Colonials"," Corporate State"," Onenceve is a n unremarkable dump. "
122,"Diesdi"," (150","165)",2," Harmless Bony Birds"," Anarchy"," The planet Diesdi is a n unremarkable dump. "
123,"Quinmabe"," (196","45)",1," Bug-Eyed Lobsters"," Feudal"," This planet is very well known for its inhabitants' weird shyness and the Quinmabeian mountain Nusealoid. "
124,"Inmaarxe"," (19","107)",11," Human Colonials"," Corporate State"," The planet Inmaarxe is scourged by killer mountain Abzazaaboids. "
125,"Edceon"," (66","42)",8," Red Slimy Rodents"," Multi-Government"," The world Edceon is mildly noted for its ancient mountains but ravaged by occasional solar activity. "
126,"Cecear"," (255","32)",13," Fierce Rodents"," Confederacy"," This planet is most notable for its fabulous Soinalet brandy but ravaged by frequent earthquakes. "
127,"Cebiledi"," (85","170)",6," Fierce Rodents"," Anarchy"," The planet Cebiledi is scourged by killer edible arts graduates. "
128,"Lazaso"," (237","33)",5," Human Colonials"," Anarchy"," This world is a tedious place. "
129,"Inbe"," (224","231)",3," Human Colonials"," Confederacy"," This planet is plagued by frequent earthquakes. "
130,"Lavema"," (160","64)",8," Human Colonials"," Multi-Government"," Lavema is reasonably well known for the Lavemaian spotted wolf but beset by deadly solar activity. "
131,"Edanma"," (54","107)",10," Furry Humanoids"," Corporate State"," Edanma is ravaged by unpredictable solar activity. "
132,"Sobean"," (96","203)",5," Fierce Bony Felines"," Feudal"," Sobean is cursed by vicious killer cats. "
133,"Ceedra"," (214","27)",6," Fierce Furry Felines"," Anarchy"," This planet is plagued by occasional solar activity. "
134,"Onsoor"," (82","148)",9," Harmless Frogs"," Corporate State"," Onsoor is most noted for the Onsoorian evil arts graduate and its fabulous Zaleen juice. "
135,"Ororbe"," (31","185)",12," Human Colonials"," Democracy"," This planet is mildly fabled for its inhabitants' ingrained shyness but scourged by dreadful solar activity. "
136,"Solaerin"," (211","249)",10," Human Colonials"," Multi-Government"," This world is a tedious place. "
137,"Atredi"," (12","240)",9," Fat Humanoids"," Dictatorship"," This world is very fabled for its ancient mountains. "
138,"Eszaan"," (205","237)",5," Human Colonials"," Communist"," The world Eszaan is reasonably noted for Zero-G hockey and its inhabitants' ingrained shyness. "
139,"Somate"," (232","219)",7," Fierce Red Bony Felines"," Confederacy"," Somate is a n unremarkable planet. "
140,"Edzadiar"," (16","252)",5," Human Colonials"," Dictatorship"," Edzadiar is very notable for the Edzadiarian tree grub. "
141,"Tebeor"," (10","13)",7," Human Colonials"," Democracy"," Tebeor is mildly well known for its hoopy night life. "
142,"Veoror"," (169","89)",6," Human Colonials"," Feudal"," This world is ravaged by occasional solar activity. "
143,"Anrige"," (137","25)",9," Slimy Lobsters"," Communist"," The planet Anrige is a boring world. "
144,"Ririqu"," (61","227)",7," Human Colonials"," Communist"," This world is fabled for its ancient Za plant plantations. "
145,"Erxearis"," (247","154)",9," Yellow Furry Humanoids"," Feudal"," The planet Erxearis is most famous for the Erxearisian deadly lobstoid and the Erxearisian spotted shrew. "
146,"Arbean"," (93","42)",9," Small Blue Frogs"," Democracy"," This planet is fabled for its fabulous cuisine. "
147,"Soteri"," (25","187)",7," Fierce Horned Humanoids"," Dictatorship"," This world is a revolting dump. "
148,"Isrion"," (226","126)",6," Fat Humanoids"," Confederacy"," This world is reasonably well known for its great volcanoes but ravaged by a vicious disease. "
149,"Antiaxe"," (156","63)",2," Human Colonials"," Communist"," This world is plagued by frequent earthquakes. "
150,"Artear"," (66","239)",4," Human Colonials"," Dictatorship"," The world Artear is a boring planet. "
151,"Edbeis"," (209","10)",7," Human Colonials"," Multi-Government"," Edbeis is a n unremarkable planet. "
152,"Qulecele"," (233","93)",6," Blue Fat Felines"," Democracy"," The planet Qulecele is reasonably fabled for Zero-G hockey and its inhabitants' ingrained silliness. "
153,"Usaorer"," (97","37)",7," Human Colonials"," Corporate State"," This planet is reasonably famous for its inhabitants' exceptional loathing of sit coms. "
154,"Orgein"," (144","121)",4," Human Colonials"," Anarchy"," The world Orgein is a boring world. "
155,"Edreered"," (9","76)",3," Red Furry Humanoids"," Feudal"," The planet Edreered is most noted for its inhabitants' exceptional loathing of casinos and its inhabitants' ancient mating traditions. "
156,"Edxebere"," (152","208)",11," Slimy Rodents"," Corporate State"," The world Edxebere is reasonably noted for its fabulous goat burgers. "
157,"Geceveon"," (78","243)",7," Large Harmless Furry Rodents"," Multi-Government"," This world is very well known for Geceveonian lethal water and the Geceveonian tree grub. "
158,"Anatma"," (95","214)",7," Human Colonials"," Confederacy"," The world Anatma is a boring planet. "
159,"Laquused"," (56","203)",4," Yellow Bony Birds"," Anarchy"," The world Laquused is mildly fabled for its inhabitants' eccentric love for poetry but ravaged by occasional solar activity. "
160,"Anisat"," (152","232)",5," Slimy Lobsters"," Anarchy"," The world Anisat is most well known for its vast dense forests. "
161,"Orlaed"," (10","209)",11," Human Colonials"," Confederacy"," The planet Orlaed is most noted for its inhabitants' exceptional loathing of food blenders and its exciting Orlaedian evil juice. "
162,"Rabea"," (166","88)",10," Green Felines"," Multi-Government"," This planet is very well known for Rabeaian vicious water and the Rabeaian spotted cat. "
163,"Quleraat"," (247","207)",7," Slimy Lizards"," Corporate State"," This world is reasonably well known for its great volcanoes but plagued by evil tree leopards. "
164,"Usreus"," (241","116)",3," Human Colonials"," Feudal"," This world is a revolting dump. "
165,"Raanre"," (222","104)",7," Harmless Felines"," Anarchy"," The world Raanre is beset by a evil disease. "
166,"Esveri"," (62","142)",7," Human Colonials"," Corporate State"," Esveri is mildly well known for its hoopy night life and its exotic cuisine. "
167,"Raatzama"," (254","158)",6," Human Colonials"," Democracy"," Raatzama is mildly well known for its hoopy casinos. "
168,"Leatrien"," (11","4)",7," Large Rodents"," Multi-Government"," This world is a revolting dump. "
169,"Xebees"," (178","222)",5," Large Black Fat Felines"," Dictatorship"," The planet Xebees is a n unremarkable planet. "
170,"Tecexe"," (223","73)",11," Red Felines"," Communist"," Tecexe is a n unremarkable planet. "
171,"Divees"," (37","130)",9," Green Rodents"," Confederacy"," The planet Divees is most noted for its inhabitants' exceptional love for food blenders and its weird rock formations. "
172,"Ingeisdi"," (173","233)",9," Yellow Fat Birds"," Dictatorship"," This world is reasonably notable for its exotic cuisine but ravaged by a vicious disease. "
173,"Aquti"," (13","221)",6," Human Colonials"," Democracy"," This world is a tedious little planet. "
174,"Bedixe"," (33","151)",2," Blue Frogs"," Feudal"," The world Bedixe is mildly fabled for the Bedixeian mountain slug but ravaged by a vicious disease. "
175,"Bequen"," (99","194)",10," Yellow Bug-Eyed Birds"," Communist"," This planet is noted for Zero-G hockey. "
176,"Inonin"," (0","50)",7," Harmless Horned Lizards"," Communist"," This planet is mildly fabled for its inhabitants' eccentric love for tourists but beset by evil spotted craboids. "
177,"Cemaaran"," (25","140)",3," Fierce Black Furry Felines"," Feudal"," This planet is mildly fabled for its inhabitants' eccentric love for tourists but plagued by deadly earthquakes. "
178,"Enedso"," (123","202)",11," Human Colonials"," Democracy"," This world is plagued by frequent earthquakes. "
179,"Atmaa"," (210","167)",4," Red Furry Felines"," Dictatorship"," Atmaa is a revolting little planet. "
180,"Bilera"," (140","175)",3," Human Colonials"," Confederacy"," The world Bilera is a dull place. "
181,"Engeatso"," (156","148)",5," Human Colonials"," Communist"," This world is ravaged by unpredictable civil war. "
182,"Anrati"," (71","113)",11," Red Frogs"," Dictatorship"," The world Anrati is mildly fabled for its inhabitants' eccentric love for tourists but plagued by deadly earthquakes. "
183,"Rabeer"," (168","119)",1," Human Colonials"," Multi-Government"," This planet is very well known for killer Ongearet gargle blasters and its exciting sit coms. "
184,"Isbianon"," (56","240)",10," Human Colonials"," Democracy"," The world Isbianon is a boring world. "
185,"Leteisan"," (255","27)",11," Human Colonials"," Corporate State"," This planet is mildly noted for its ancient Eserce tulip plantations but ravaged by frequent earthquakes. "
186,"Rainte"," (187","93)",3," Felines"," Anarchy"," The world Rainte is fabled for its fabulous cuisine and the Rainteian edible poet. "
187,"Bilecedi"," (61","124)",3," Fierce Harmless Bug-Eyed Lobsters"," Feudal"," This world is very fabled for its unusual oceans. "
188,"Lausmaes"," (77","69)",7," Human Colonials"," Corporate State"," The planet Lausmaes is scourged by deadly tree grubs. "
189,"Riratea"," (73","203)",6," Black Horned Birds"," Multi-Government"," This world is very notable for its inhabitants' ingrained shyness. "
190,"Diis"," (239","156)",9," Large Yellow Bony Lobsters"," Confederacy"," Diis is mildly well known for killer Ar juice. "
191,"Larionra"," (11","253)",3," Insects"," Anarchy"," This world is a revolting little planet. "
192,"Encein"," (116","191)",0," Human Colonials"," Anarchy"," The world Encein is a dull place. "
193,"Vebi"," (36","204)",6," Human Colonials"," Confederacy"," The planet Vebi is scourged by deadly edible arts graduates. "
194,"Zalexe"," (221","128)",9," Human Colonials"," Multi-Government"," The planet Zalexe is reasonably noted for its inhabitants' exceptional love for tourists and its unusual oceans. "
195,"Ineddien"," (168","66)",9," Horned Lizards"," Corporate State"," The world Ineddien is most famous for the Ineddienian spotted cat. "
196,"Edorza"," (178","45)",3," Black Insects"," Feudal"," The planet Edorza is a boring world. "
197,"Bereed"," (214","196)",3," Green Horned Humanoids"," Anarchy"," This world is reasonably well known for its great tropical forests but cursed by dreadful solar activity. "
198,"Xevera"," (91","152)",14," Large Harmless Bony Humanoids"," Corporate State"," This world is mildly famous for its vast rain forests and the Xeveraian tree wolf. "
199,"Edquonen"," (205","148)",7," Human Colonials"," Democracy"," This planet is plagued by occasional solar activity. "
200,"Inriisus"," (114","31)",3," Human Colonials"," Multi-Government"," The planet Inriisus is a n unremarkable planet. "
201,"Geesla"," (72","221)",4," Large Harmless Furry Rodents"," Dictatorship"," This world is very notable for its inhabitants' ingrained silliness and its weird volcanoes. "
202,"Tiqu"," (34","181)",6," Human Colonials"," Communist"," This planet is a tedious place. "
203,"Geerbi"," (82","58)",10," Large Green Slimy Lobsters"," Confederacy"," The planet Geerbi is famous for Geerbiian wolf cutlet but plagued by a vicious disease. "
204,"Atenrile"," (122","230)",5," Human Colonials"," Dictatorship"," The world Atenrile is a boring world. "
205,"Enatce"," (1","190)",5," Human Colonials"," Democracy"," Enatce is very notable for its inhabitants' ingrained shyness. "
206,"Leerte"," (201","229)",2," Human Colonials"," Feudal"," The planet Leerte is mildly well known for its exotic cuisine. "
207,"Anbiat"," (46","124)",7," Horned Humanoids"," Communist"," Anbiat is mildly well known for Anbiatian wolf meat and its unusual dense forests. "
208,"Maera"," (243","145)",11," Human Colonials"," Communist"," This world is a revolting dump. "
209,"Arzaquar"," (43","143)",4," Small Yellow Fat Felines"," Feudal"," The world Arzaquar is very famous for its hoopy night life but scourged by frequent civil war. "
210,"Esrexe"," (202","122)",10," Small Yellow Slimy Frogs"," Democracy"," Esrexe is a revolting dump. "
211,"Maeser"," (122","162)",9," Small Harmless Slimy Lobsters"," Dictatorship"," Maeser is reasonably well known for its vast oceans but ravaged by lethal spotted craboids. "
212,"Riraed"," (101","240)",11," Green Furry Insects"," Confederacy"," The world Riraed is a dull world. "
213,"Orrigean"," (140","248)",9," Human Colonials"," Communist"," The world Orrigean is most famous for the Orrigeanian spotted shrew. "
214,"Istela"," (123","3)",9," Human Colonials"," Dictatorship"," The world Istela is a dull world. "
215,"Zabe"," (110","245)",5," Human Colonials"," Multi-Government"," The planet Zabe is very famous for its unusual casinos but beset by a lethal disease. "
216,"Aquxein"," (183","147)",10," Black Fat Insects"," Democracy"," The planet Aquxein is a boring world. "
217,"Aroratla"," (140","34)",9," Human Colonials"," Corporate State"," Aroratla is reasonably notable for its great parking meters but cursed by occasional earthquakes. "
218,"Bian"," (21","81)",5," Human Colonials"," Anarchy"," This planet is most notable for vicious Be gargle blasters but scourged by unpredictable earthquakes. "
219,"Zagearbe"," (98","187)",7," Fierce Red Bug-Eyed Frogs"," Feudal"," The world Zagearbe is a dull world. "
220,"Leonrala"," (51","202)",12," Large Yellow Bug-Eyed Lizards"," Corporate State"," The world Leonrala is very famous for its unusual casinos but plagued by frequent earthquakes. "
221,"Esbeena"," (53","180)",5," Small Red Bug-Eyed Lizards"," Multi-Government"," The planet Esbeena is scourged by a evil disease. "
222,"Veedri"," (175","114)",11," Human Colonials"," Confederacy"," This world is ravaged by unpredictable civil war. "
223,"Ceenbion"," (206","62)",3," Fierce Blue Slimy Frogs"," Anarchy"," The planet Ceenbion is mildly notable for its inhabitants' ingrained shyness. "
224,"Edrive"," (127","166)",4," Black Bug-Eyed Frogs"," Anarchy"," Edrive is cursed by vicious mountain monkeys. "
225,"Gesoed"," (45","214)",5," Human Colonials"," Confederacy"," This world is very fabled for the Gesoedian edible poet. "
226,"Geonbi"," (67","184)",11," Large Bony Felines"," Multi-Government"," Geonbi is mildly famous for its hoopy casinos and its great parking meters. "
227,"Reriveza"," (73","198)",6," Frogs"," Corporate State"," Reriveza is most noted for the Rerivezaian mountain lobstoid and the Rerivezaian evil poet. "
228,"Orbeat"," (164","246)",2," Human Colonials"," Feudal"," Orbeat is famous for its inhabitants' ancient loathing of discos but plagued by occasional civil war. "
